ID,Year,PP (Y), TC (X1) ,II (X2),ATB (X3),ML (Z)
68,2017,0.031350,0.005144,0.162836,0.048348,-0.003821
68,2018,0.070853,0.009378,0.169822,0.046076,0.054281
68,2019,0.116647,0.019803,0.161295,0.045315,0.046319
68,2020,0.064573,0.019148,0.136064,0.043632,-0.017413
68,2021,0.147555,0.016110,0.120401,0.039384,0.011991
69,2017,0.067252,0.192373,0.300926,0.000143,-0.008285
69,2018,0.017690,0.232800,0.300202,0.000000,0.185545
69,2019,0.112356,0.117416,0.318148,0.000000,-0.047756
69,2020,0.079633,0.107595,0.177299,0.000000,-0.014948
69,2021,0.009890,0.069264,0.362883,0.000000,0.183138
70,2017,0.032568,0.100405,0.320583,0.003340,-0.012268
70,2018,0.077333,1.982054,0.258260,0.003042,0.199698
70,2019,0.094849,0.187058,0.287569,0.003580,-0.164024
70,2020,-0.071679,0.050531,0.264013,0.004963,0.067579
70,2021,0.031159,0.014551,0.280812,0.005414,0.075755
71,2017,0.095410,0.031051,0.052359,0.082433,-0.024104
71,2018,0.071997,0.022347,0.034092,0.051506,0.058804
71,2019,0.021968,0.019677,0.025380,0.045872,0.137127
71,2020,-0.555196,0.114502,0.023494,0.044521,0.002470
71,2021,0.009923,0.042413,0.049880,0.038503,0.007184
72,2017,0.056913,0.006337,0.111735,0.000452,-0.045609
72,2018,0.165366,0.000004,0.131067,0.001667,-0.008809
72,2019,0.148309,0.003549,0.145170,0.002619,0.090210
72,2020,0.146047,0.001735,0.140377,0.002010,-0.028648
72,2021,0.135572,0.000227,0.160467,0.001668,-0.012844
