ID	Year	PP(Y)	TC(X1)	II(X2)	ATB(X3)	ML(Z)
57	2017	0,020336156	-0,012783641	0,081619298	0,022093387	0,050447005
57	2018	0,015540001	-0,00904959	0,078984975	0,017103573	0,051958244
57	2019	0,018758642	-0,005385965	0,076966035	0,012421358	0,039440612
57	2020	0,013893587	0,001117497	0,079379384	0,007535634	0,054172143
57	2021	0,023646039	0,009160506	0,083853516	0,009059971	0,044727052
58	2017	0,042809576	0,00735923	0,079946214	0,01011578	0,042240941
58	2018	0,040691338	0,014949193	0,06798195	0,010047962	0,042737292
58	2019	0,041963231	0,018124922	0,058154651	0,01001692	0,038251368
58	2020	0,049256997	0,020981331	0,058589003	0,010001307	0,031585713
58	2021	0,029295798	0,021681079	0,062608176	0,007856359	0,041163852
59	2017	0,02917022	0,017927211	0,062819951	0,010592219	0,03558847
59	2018	0,030134665	0,014361924	0,062624871	0,014413551	0,047515229
59	2019	0,038813078	0,007584814	0,066484697	0,017060842	0,043820968
59	2020	0,032314009	-0,000147822	0,077065732	0,020077768	0,043987225
59	2021	0,011009925	0,001151388	0,077291137	0,023820673	0,029328749
60	2017	0,012731334	-0,001351863	0,078115426	0,027568883	0,023004849
60	2018	0,020569485	0,00116437	0,077949167	0,031101267	0,02845166
60	2019	0,019943717	-0,001440084	0,077429081	0,034311725	0,031934756
60	2020	0,040407325	0,007798031	0,073759114	0,036732853	0,026155081
60	2021	0,050491806	0,015447214	0,071803363	0,034255419	0,036499259
61	2017	0,04958214	0,01518807	0,071800869	0,028922703	0,021552636
61	2018	0,042411254	0,015776804	0,063013972	0,025123008	0,009015738
61	2019	0,041462059	0,015482866	0,047519767	0,021089282	0,013665334
61	2020	0,045364112	0,015292207	0,047970452	0,016693225	0,018337787
61	2021	0,050521779	0,010858601	0,046395423	0,013447514	0,020027141
62	2017	0,045675438	0,006898447	0,045042259	0,010394201	0,017454118
62	2018	0,042322177	0,008519474	0,044680172	0,007549404	0,017732035
62	2019	0,027714749	0,000464381	0,044601345	0,005446463	0,020110917
62	2020	0,020625706	-0,004071386	0,046148782	0,003539423	0,010428678
62	2021	0,021778887	-0,001057006	0,045606314	0,00360273	0,01215385
63	2017	0,024676596	-0,001636362	0,058510212	0,00329091	0,01781928
63	2018	0,029457002	-0,001844393	0,069499853	0,002791821	0,017529466
63	2019	0,03000512	-0,001435499	0,076506574	0,002444958	0,013643406
63	2020	0,027445226	0,008032182	0,086525802	0,001999011	0,040311737
63	2021	0,022994709	0,01372476	0,094087397	0,00162952	0,048346392
64	2017	0,02644767	0,016352701	0,109325364	0,001263858	0,060830343
